Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Mood
559263,Sub Sonik,My Time,2QG8mQwRQk3VRZFeEbx5rh,38,2022,hardstyle,0.43,0.99,6,-0.946,0,0.325,0.00162,0.0,0.366,0.255,160.052,212474,4,Energetic
1198332,Antonio Vivaldi,"Violin Concerto in G Minor, Op. 8, No. 2, RV 315 ""L'estate"": III. Presto (Tempo impetuoso d'estate)",29rpwYq7c3YzWfAzsEenUu,12,2008,classical,0.411,0.449,11,-15.21,0,0.0336,0.883,0.789,0.279,0.688,148.655,169373,3,Calm
71345,Redeyes,Impulse - Original Mix,0p8ioJHVhDhHFIdWzrvpuG,3,2013,drum-and-bass,0.594,0.909,10,-10.322,0,0.0686,0.00076,0.0295,0.121,0.67,169.952,259814,4,Happy
657077,H.O.T.,Outside Castle (The Castle Outsiders),4ZUBUNAl8VxYWfFq0lHEfq,21,2000,k-pop,0.464,0.745,0,-7.303,1,0.158,0.349,7.53e-05,0.0768,0.31,141.952,326293,4,Energetic
267018,Havok,Wake Up,4WiNdFyPzOrEVtTFPA8194,20,2017,death-metal,0.475,0.971,8,-5.759,0,0.169,0.00117,0.29,0.365,0.148,175.966,341147,4,Energetic
798453,Leandro Fresco,7000 Dias Juntos,43bedRx1UYyEktCghk6brc,1,2002,ambient,0.109,0.447,2,-15.449,0,0.048,0.77,0.429,0.091,0.176,77.74,360971,5,Sad
253240,Canyon City,Be Scared with Me,1oIZsuEhN4JMJ64C8goIu6,34,2017,acoustic,0.604,0.267,0,-12.291,1,0.0325,0.804,0.000124,0.116,0.327,146.186,250685,4,Calm
953715,Lostep,Burma - Sasha Remix,6YbuxMs6f1kiQIPu7qksYN,15,2004,house,0.637,0.92,11,-6.226,0,0.0598,0.000774,0.902,0.0347,0.526,130.018,726027,4,Energetic
135510,Noriyasu Takeuchi,今夜月の見える丘に,1y5iaPQLBJQDLGwpvTcBoj,16,2014,guitar,0.553,0.0659,4,-19.94,0,0.061,0.991,0.954,0.11,0.298,141.546,273587,4,Sad
1129899,Papa Razzi and the Photogs,Mandy Moore,0YWldXInnPb5LwQw6wmBax,0,2007,comedy,0.593,0.151,7,-13.629,1,0.16,0.883,0.0,0.105,0.499,100.818,104067,4,Calm
1128451,Edvard Grieg,"Symphony in C Minor, EG 119: II. Adagio espressivo",5fcDG7g1ZyUfxJ6X9c0H2i,18,2007,classical,0.0673,0.049,8,-26.058,1,0.048,0.973,0.91,0.0966,0.0343,72.27,440133,3,Sad
535882,Deekline,Mosh Pit - Rise Remix,57mkK024rHuxyUK9MIf7b1,9,2022,breakbeat,0.74,0.809,7,-1.942,1,0.333,0.0227,0.0,0.152,0.656,174.037,267771,4,Happy
36522,The Amity Affliction,Greens Avenue,10iiXcxz5gJlGFoUs4j83E,38,2012,metal,0.388,0.967,11,-3.905,0,0.0771,4.45e-05,0.0,0.0977,0.27,145.082,270347,4,Energetic
131497,Ricky Eat Acid,Can You See It's Bloom,17n2KhIYBOom88nix20efB,12,2014,garage,0.302,0.29,9,-17.779,1,0.0796,0.932,0.000236,0.0709,0.0392,94.525,166818,5,Sad
822404,8 Foot Sativa,Cocktease,3UcPWSiCCKNalc8E0JKaH8,11,2002,groove,0.385,0.895,7,-4.219,1,0.2,0.000163,0.896,0.0457,0.511,111.767,206013,4,Calm
1404643,Theatres Des Vampires,Sangue,5bI5zVdbMKtO9JgeUIocW6,15,2011,black-metal,0.512,0.937,5,-3.76,0,0.0426,0.321,7.69e-06,0.196,0.67,149.998,238960,4,Happy
