artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Сергей Захаров,Милая,0DbjnobMwfD3rs9zcfCjfQ,0,2000,romance,0.263,0.404,2,-8.402,1,0.0393,0.926,0.00531,0.215,0.226,82.82,159760,1
Mike Howe,The Fisherman,6h12iYLvdHvjPNOXAfT6Jc,12,2010,acoustic,0.515,0.228,0,-21.447,0,0.0519,0.925,0.863,0.114,0.462,124.253,269187,3
Coal Chamber,Dumpster Dive,1RnaJ0dlAVT8aTdOyqdYpt,13,2015,industrial,0.482,0.689,9,-10.53,0,0.0545,0.00656,0.518,0.136,0.107,130.074,69669,4
Celer,"A Crush, a Hero-Worship & Hyperrealism",5XSiNAZgloIR23HKeCHOve,3,2008,ambient,0.167,0.343,9,-25.948,1,0.0693,0.86,0.971,0.083,0.034,125.993,350560,3
Luca Stricagnoli,Stars,3Ee75tSBqwArC7Skmy8tew,11,2017,guitar,0.457,0.719,0,-9.791,1,0.0348,0.0179,0.837,0.105,0.488,174.987,209533,4
Roffe Ruff,Fröken Anderberg,6xNdBzXLg0uwYGRDIgzWTW,18,2011,goth,0.81,0.424,10,-11.364,0,0.104,0.214,0.0,0.0966,0.516,74.976,220027,3
De-Phazz,All Inclusive,2jwoFDo4GxZWjNvl9SNw0h,12,2018,trip-hop,0.686,0.504,7,-11.073,0,0.0307,0.177,0.513,0.107,0.622,118.99,303529,4
Masterstroke,Sleep,35OOYWj9z0w9nTbbvVV6Zs,0,2007,heavy-metal,0.321,0.913,9,-5.028,1,0.105,0.00509,3.35e-06,0.632,0.202,169.932,243693,4
Within The Ruins,Grand Illusion (Bonus Track) - Instrumental,7poXmqsfoBAfXuuo4BFD7G,17,2018,death-metal,0.393,0.985,5,-3.959,0,0.114,0.00054,0.814,0.512,0.518,145.037,243000,4
Chris Tomlin,Impact,1FTInStxJsbzQp75jrsxsI,38,2018,alt-rock,0.407,0.53,11,-7.091,1,0.0324,0.0686,0.0,0.0568,0.219,143.955,254173,4
Trio Garufa,Absurdo,7pa76xBBLy8umTmBQ0620K,1,2014,tango,0.441,0.365,0,-10.115,1,0.0404,0.773,0.554,0.348,0.715,183.635,149440,3
Henry Purcell,"Dido & Aeneas, Z. 626: Dido & Aeneas, Z. 626: Act III, ""When I am laid in earth"" (Dido's lament)",3uRblidkBjfzXBxi2Ds8IC,24,2007,classical,0.21,0.0538,6,-25.626,0,0.0537,0.855,0.855,0.0995,0.038,134.05,249293,4
Traditional,"Responsorium ""Subvenite""",0mlSSQH5DIRGowdLWjK7A2,20,2008,sleep,0.194,0.0359,7,-24.047,1,0.0459,0.945,0.0477,0.104,0.0364,107.332,146453,5
Wilhelm Kienzl,"Der Kuhreigen, Op. 85: Act I: O Himmelskonigin (Primus, Chorus)",6ylAEKWmn6Ea4UZyhkR86t,0,2015,opera,0.256,0.348,3,-10.801,1,0.0373,0.968,0.732,0.106,0.15,128.202,115907,4
Kid Dynamite,S.O.S.,3jSXQn7UhoPtVsFk26dlDl,23,2000,hardcore,0.278,0.979,6,-3.25,0,0.0798,0.000343,0.0,0.119,0.528,93.128,102360,4
VaShawn Mitchell,Release - Live,3nFnhuNxbQoU0yx4rfPGxw,7,2014,gospel,0.328,0.707,5,-6.38,1,0.122,0.0513,0.0,0.111,0.203,88.949,384120,1
Eric Clapton,All of Me,74j0G0mF3kJzPt5tGiwGQ7,14,2013,blues,0.704,0.657,2,-7.746,1,0.033,0.818,0.00151,0.0801,0.685,130.922,202627,4
Orchester der Vereinigten Bühnen Wien,Ich gehör nur mir - Reprise,0XSZzJds33KLN7XbaVZcce,14,2006,german,0.302,0.526,3,-8.094,1,0.0535,0.715,0.000935,0.873,0.326,78.457,190387,4
Gleemer,Party Girls,7jw1iZbqP7qAFwmEug1v1E,18,2015,emo,0.492,0.583,9,-7.436,0,0.0298,0.0108,0.338,0.0857,0.33,80.041,308000,4
